CS 170 Spring 2020 Project Leaderboard

S

M

L
Input Number
Team Name
Type 2 or more characters for results.
Team no_one

Input Name	Rank
large-62	1
large-63	12
large-64	24
large-65	42
large-66	22
large-67	22
large-68	1
large-69	1
large-70	45
large-71	1
large-72	30
large-73	39
large-74	1
large-75	19
large-76	1
large-77	26
large-78	18
large-79	17
large-80	33
large-81	62
large-82	17
large-83	29
large-84	45
large-85	55
large-86	35
large-87	1
large-88	51
large-89	37
large-90	1
large-91	52
large-92	49
large-93	31
large-94	1
large-95	22
large-96	6
large-97	59
large-98	52
large-99	20
large-100	29
large-101	30
large-102	1
large-103	49
large-104	25
large-105	50
large-106	39
large-107	1
large-108	38
large-109	79
large-110	1
large-111	1
large-112	57
large-113	20
large-114	28
large-115	1
large-116	66
large-117	38
large-118	15
large-119	23
large-120	19
large-121	2
large-122	29
large-123	1
large-124	20
large-125	1
large-126	18
large-127	51
large-128	49
large-129	25
large-130	30
large-131	45
large-132	1
large-133	16
large-134	42
large-135	22
large-136	31
large-137	93
large-138	1
large-139	41
large-140	1
large-141	43
large-142	1
large-143	21
large-144	53
large-145	19
large-146	25
large-147	34
large-148	1
large-149	1
large-150	14
large-151	63
large-152	97
large-153	32
large-154	29
large-155	23
large-156	18
large-157	1
large-158	28
large-159	1
large-160	13
large-161	13
large-162	12
large-163	31
large-164	1
large-165	1
large-166	28
large-167	42
large-168	32
large-169	34
large-170	1
large-171	48
large-172	29
large-173	1
large-174	19
large-175	1
large-176	47
large-177	19
large-178	48
large-179	1
large-180	23
large-181	44
large-182	30
large-183	14
large-184	1
large-185	26
large-186	24
large-187	20
large-188	20
large-189	1
large-190	56
large-191	22
large-192	47
large-193	47
large-194	51
large-195	23
large-196	46
large-197	1
large-198	23
large-199	26
large-200	6
large-201	24
large-202	18
large-203	33
large-204	1
large-205	1
large-206	31
large-207	43
large-208	1
large-209	18
large-210	1
large-211	25
large-212	47
large-213	52
large-214	19
large-215	27
large-216	66
large-217	13
large-218	38
